Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.000000,12.750000,12.750000,12.750000,5.910093,7400
1973-02-22,0.000000,12.750000,12.750000,12.750000,5.910093,600
1973-02-23,0.000000,12.625000,12.625000,12.625000,5.852148,1600
1973-02-26,0.000000,11.875000,11.875000,11.875000,5.504494,6400
1973-02-27,0.000000,11.125000,11.125000,11.125000,5.156845,6200
1973-02-28,0.000000,11.250000,11.250000,11.250000,5.214787,2600
1973-03-01,0.000000,9.375000,9.375000,9.375000,4.345656,10400
1973-03-02,0.000000,10.375000,10.375000,10.375000,4.809192,9200
1973-03-05,0.000000,10.750000,10.750000,10.750000,4.983020,7600
1973-03-06,0.000000,10.750000,10.750000,10.750000,4.983020,3200
1973-03-07,0.000000,10.750000,10.750000,10.750000,4.983020,1600
1973-03-08,0.000000,10.875000,10.875000,10.875000,5.040961,2400
1973-03-09,0.000000,11.000000,11.000000,11.000000,5.098905,600
1973-03-12,0.000000,10.625000,10.625000,10.625000,4.925076,3800
1973-03-13,0.000000,10.750000,10.750000,10.750000,4.983020,3200
1973-03-14,0.000000,10.750000,10.750000,10.750000,4.983020,1800
1973-03-15,0.000000,10.750000,10.750000,10.750000,4.983020,1200
1973-03-16,0.000000,10.750000,10.750000,10.750000,4.983020,1600
1973-03-19,0.000000,10.625000,10.625000,10.625000,4.925076,1400
1973-03-20,0.000000,10.625000,10.625000,10.625000,4.925076,5800
1973-03-21,0.000000,10.125000,10.125000,10.125000,4.693309,4200
1973-03-22,0.000000,9.875000,9.875000,9.875000,4.577422,3800
1973-03-23,0.000000,9.625000,9.625000,9.625000,4.461537,4400
1973-03-26,0.000000,9.875000,9.875000,9.875000,4.577422,1600
1973-03-27,0.000000,10.250000,10.250000,10.250000,4.751250,2800
1973-03-28,0.000000,10.125000,10.125000,10.125000,4.693309,400
1973-03-29,0.000000,10.500000,10.500000,10.500000,4.867134,4200
1973-03-30,0.000000,10.250000,10.250000,10.250000,4.751250,2400
1973-04-02,0.000000,10.250000,10.250000,10.250000,4.751250,800
1973-04-03,0.000000,9.750000,9.750000,9.750000,4.519483,1600
1973-04-04,0.000000,9.500000,9.500000,9.500000,4.403599,2400
1973-04-05,0.000000,9.500000,9.500000,9.500000,4.403599,1600
1973-04-06,0.000000,9.625000,9.625000,9.625000,4.461537,1200
1973-04-09,0.000000,9.750000,9.750000,9.750000,4.519483,1000
1973-04-10,0.000000,10.000000,10.000000,10.000000,4.635366,1200
1973-04-11,0.000000,10.000000,10.000000,10.000000,4.635366,400
1973-04-12,0.000000,9.875000,9.875000,9.875000,4.577422,1000
1973-04-13,0.000000,9.875000,9.875000,9.875000,4.577422,400
1973-04-16,0.000000,9.875000,9.875000,9.875000,4.577422,600
1973-04-17,0.000000,9.750000,9.750000,9.750000,4.519483,3200
1973-04-18,9.750000,9.750000,9.750000,9.750000,4.519483,0
1973-04-19,9.750000,9.750000,9.750000,9.750000,4.519483,0
1973-04-23,0.000000,9.875000,9.875000,9.875000,4.577422,200
1973-04-24,0.000000,9.625000,9.625000,9.625000,4.461537,2200
1973-04-25,0.000000,9.625000,9.625000,9.625000,4.461537,1200
1973-04-26,0.000000,9.625000,9.625000,9.625000,4.461537,800
1973-04-27,0.000000,9.375000,9.375000,9.375000,4.345656,400
1973-04-30,0.000000,9.375000,9.375000,9.375000,4.345656,1800
1973-05-01,0.000000,9.500000,9.500000,9.500000,4.403599,1400
1973-05-02,0.000000,9.500000,9.500000,9.500000,4.403599,400
1973-05-03,0.000000,9.875000,9.500000,9.500000,4.403599,600
1973-05-04,0.000000,9.500000,9.125000,9.125000,4.229772,4000
1973-05-07,0.000000,9.500000,9.125000,9.125000,4.229772,200
1973-05-08,0.000000,9.375000,9.000000,9.000000,4.171832,2800
1973-05-09,0.000000,9.250000,8.875000,8.875000,4.113888,2400
1973-05-10,0.000000,9.250000,8.875000,8.875000,4.113888,2200
1973-05-11,0.000000,8.875000,8.375000,8.375000,3.882119,1600
1973-05-14,0.000000,8.875000,8.375000,8.375000,3.882119,2600
1973-05-15,0.000000,8.500000,8.000000,8.000000,3.708292,3800
1973-05-16,0.000000,8.250000,7.875000,7.875000,3.650353,2800
1973-05-17,0.000000,8.375000,8.000000,8.000000,3.708292,4000
1973-05-18,0.000000,8.250000,7.875000,7.875000,3.650353,2800
1973-05-21,0.000000,7.875000,7.500000,7.500000,3.476526,4000
1973-05-22,0.000000,7.375000,7.000000,7.000000,3.244757,5600
1973-05-23,0.000000,6.875000,6.375000,6.375000,2.955047,3000
1973-05-24,0.000000,7.125000,6.625000,6.625000,3.070930,4800
1973-05-25,0.000000,7.250000,6.875000,6.875000,3.186814,4400
1973-05-29,0.000000,7.375000,7.000000,7.000000,3.244757,2000
1973-05-30,0.000000,7.375000,7.000000,7.000000,3.244757,2600
1973-05-31,0.000000,7.250000,6.875000,6.875000,3.186814,1200
1973-06-01,0.000000,7.250000,6.875000,6.875000,3.186814,200
1973-06-04,0.000000,7.000000,6.625000,6.625000,3.070930,1800
1973-06-05,0.000000,7.000000,6.625000,6.625000,3.070930,1000
1973-06-06,0.000000,7.000000,6.625000,6.625000,3.070930,600
1973-06-07,0.000000,7.000000,6.625000,6.625000,3.070930,600
1973-06-08,0.000000,7.625000,7.250000,7.250000,3.360641,1800
1973-06-11,0.000000,7.625000,7.250000,7.250000,3.360641,600
1973-06-12,0.000000,7.875000,7.500000,7.500000,3.476526,3400
1973-06-13,0.000000,7.875000,7.500000,7.500000,3.476526,400
1973-06-14,0.000000,7.875000,7.500000,7.500000,3.476526,8400
1973-06-15,0.000000,8.000000,7.625000,7.625000,3.534466,2200
1973-06-18,0.000000,8.125000,7.750000,7.750000,3.592410,1200
1973-06-19,0.000000,8.125000,7.750000,7.750000,3.592410,2600
1973-06-20,0.000000,8.375000,8.000000,8.000000,3.708292,1400
1973-06-21,0.000000,8.250000,7.875000,7.875000,3.650353,1000
1973-06-22,0.000000,8.375000,8.000000,8.000000,3.708292,1000
1973-06-25,0.000000,8.375000,8.000000,8.000000,3.708292,400
1973-06-26,8.000000,8.000000,8.000000,8.000000,3.708292,0
1973-06-27,8.000000,8.000000,8.000000,8.000000,3.708292,0
1973-06-28,0.000000,8.375000,8.000000,8.000000,3.708292,600
1973-06-29,0.000000,8.375000,8.000000,8.000000,3.708292,600
1973-07-02,0.000000,8.375000,8.000000,8.000000,3.708292,600
1973-07-03,0.000000,8.375000,8.000000,8.000000,3.708292,800
1973-07-05,0.000000,8.250000,7.875000,7.875000,3.650353,2400
1973-07-06,0.000000,8.250000,7.875000,7.875000,3.650353,400
1973-07-09,0.000000,8.375000,8.000000,8.000000,3.708292,800
1973-07-10,0.000000,8.375000,8.000000,8.000000,3.708292,600
1973-07-11,0.000000,8.375000,8.000000,8.000000,3.708292,2600
1973-07-12,0.000000,8.375000,8.000000,8.000000,3.708292,2000
1973-07-13,0.000000,8.375000,8.000000,8.000000,3.708292,2000
1973-07-16,0.000000,8.375000,8.000000,8.000000,3.708292,200
1973-07-17,0.000000,8.625000,8.250000,8.250000,3.824177,1400
1973-07-18,0.000000,8.875000,8.500000,8.500000,3.940061,8400
1973-07-19,0.000000,8.875000,8.500000,8.500000,3.940061,200
1973-07-20,0.000000,8.750000,8.375000,8.375000,3.882119,200
1973-07-23,0.000000,8.750000,8.375000,8.375000,3.882119,600
1973-07-24,0.000000,8.750000,8.375000,8.375000,3.882119,4400
1973-07-25,0.000000,8.750000,8.375000,8.375000,3.882119,600
1973-07-26,0.000000,8.750000,8.375000,8.375000,3.882119,800
1973-07-27,0.000000,8.750000,8.375000,8.375000,3.882119,1000
1973-07-30,0.000000,8.625000,8.250000,8.250000,3.824177,600
1973-07-31,0.000000,8.625000,8.250000,8.250000,3.824177,2000
1973-08-01,0.000000,7.875000,7.500000,7.500000,3.476526,1600
1973-08-02,0.000000,7.875000,7.500000,7.500000,3.476526,1200
1973-08-03,0.000000,7.875000,7.375000,7.375000,3.418583,800
1973-08-06,0.000000,8.000000,7.500000,7.500000,3.476526,400
1973-08-07,0.000000,7.500000,7.125000,7.125000,3.302699,2200
1973-08-08,0.000000,7.125000,6.750000,6.750000,3.128872,800
1973-08-09,0.000000,7.500000,7.125000,7.125000,3.302699,1200
